#,Title,Abstract,CPC Classifications,IPCR Classifications,Combined,Keyphrases
166,Flame-retardant synthetic textile articles and methods of making the same,"Synthetic textile articles (e.g., filaments, fibers, yarns, fabrics and the like) and processes of making the same are provided which include flame-retardant SAP particles. The SAP particles are most preferably hydrated with an aqueous flame-retardant solution. In this regard, the flame-retardant solution may consist essentially of water alone or a water solution containing one or more water soluble inorganic flame retardants. When SAP particles are hydrated with an aqueous inorganic flame retardant solution, the SAP particles may thereafter be dried to remove substantially the water component. In such a manner, the inorganic flame retardant will remain as a dried residue physically entrained within the SAP particles. As such, the SAP particles serve as a physical matrix in which the inorganic flame retardant is homogenously dispersed. The SAP particles may then be chemically or physically affixed to the textile article in an amount sufficient to render the article flame-retardant.",C08K3/32;;C08K3/016;;C08K3/32;;C08K3/016,C08K5/49,"Flame-retardant synthetic textile articles and methods of making the same Synthetic textile articles (e.g., filaments, fibers, yarns, fabrics and the like) and processes of making the same are provided which include flame-retardant SAP particles. The SAP particles are most preferably hydrated with an aqueous flame-retardant solution. In this regard, the flame-retardant solution may consist essentially of water alone or a water solution containing one or more water soluble inorganic flame retardants. When SAP particles are hydrated with an aqueous inorganic flame retardant solution, the SAP particles may thereafter be dried to remove substantially the water component. In such a manner, the inorganic flame retardant will remain as a dried residue physically entrained within the SAP particles. As such, the SAP particles serve as a physical matrix in which the inorganic flame retardant is homogenously dispersed. The SAP particles may then be chemically or physically affixed to the textile article in an amount sufficient to render the article flame-retardant.",
167,Glove insert seamlessly coated with hydrophobic and breathable membrane and method for producing same,,A41D19/001;;A41D31/102,A41D19/00,,
168,POLYETHYLENE TEREPHTHALATE-BASED HOOK-AND-LOOP FASTENER AND METHOD FOR MANUFACTURING SAME,"A polyethylene terephthalate-based woven hook-and-loop fastener which contains, as a woven base fabric, a fabric having a multifilament yarn made of polyethylene terephthalate as a warp yarn and a polyester-based heat-fusible multifilament yarn as a weft yarn, in which a monofilament yarn made of polyethylene terephthalate is woven in parallel with the warp yarn into the woven base fabric, a hook-shaped engaging element formed from the monofilament yarn and rising from the surface of the woven base fabric exists on the surface of the woven base fabric, and a root of the hook-shaped engaging element is fixed to the woven base fabric by a melt-solidified product of a heat-fusible component of the heat-fusible multifilament yarn, in which a melting peak temperature of the warp yarn by DSC measurement is in a range of 251.0 to 257.5° C.",A44B18/0026;;D03D15/283;;D03D15/567;;D03D15/54;;D03D15/587;;D03D27/06;;D10B2401/14;;D10B2401/041;;D10B2401/04;;D10B2331/04;;D10B2501/0632;;D10B2321/021;;D03D15/283;;D03D15/587;;D03D15/292;;A44B18/0023;;A44B18/0046;;D03D27/06;;D10B2401/14;;D10B2501/0632,A44B18/00,"POLYETHYLENE TEREPHTHALATE-BASED HOOK-AND-LOOP FASTENER AND METHOD FOR MANUFACTURING SAME A polyethylene terephthalate-based woven hook-and-loop fastener which contains, as a woven base fabric, a fabric having a multifilament yarn made of polyethylene terephthalate as a warp yarn and a polyester-based heat-fusible multifilament yarn as a weft yarn, in which a monofilament yarn made of polyethylene terephthalate is woven in parallel with the warp yarn into the woven base fabric, a hook-shaped engaging element formed from the monofilament yarn and rising from the surface of the woven base fabric exists on the surface of the woven base fabric, and a root of the hook-shaped engaging element is fixed to the woven base fabric by a melt-solidified product of a heat-fusible component of the heat-fusible multifilament yarn, in which a melting peak temperature of the warp yarn by DSC measurement is in a range of 251.0 to 257.5° C.",
169,"POLYAMIDE 56 RESIN AND FIBER, PREPARATION METHODS THEREFOR, AND USE THEREOF","A polyamide 56 resin, a fiber, a preparation method therefor and use thereof are provided. The method for preparing the polyamide 56 resin comprises a step of preparing the polyamide 56 resin from monomers by a polymerization reaction, wherein the polyamide 56 resin contains titanium dioxide, and the titanium dioxide is added during polymerization. The method for preparing the polyamide 56 resin in an embodiment can effectively prevent problems such as monofilament breakage and poor dyeing performance in a subsequent spinning process. In addition, the method is simple and easy to operate, and has a low production cost.",C08K3/22;;D01D5/08;;D01F1/10;;D01F6/60;;C08G69/26;;C08G69/28;;C08K3/22;;C08L77/06;;D01F6/90;;D01D5/08;;D01F1/10;;C08K2003/2241;;C08G69/28;;C08K3/22;;C08K2003/2241;;C08K2201/005;;D01D4/06;;D01D5/084;;D01D5/088;;D01D5/096;;D01D5/098;;D01F1/10;;D01F6/60;;D10B2331/02;;D10B2401/02;;D10B2401/061;;D10B2401/063;;D10B2401/14,C08G69/28;;C08K3/22;;D01D4/06;;D01D5/084;;D01D5/088;;D01D5/096;;D01D5/098;;D01F1/10;;D01F6/60,"POLYAMIDE 56 RESIN AND FIBER, PREPARATION METHODS THEREFOR, AND USE THEREOF A polyamide 56 resin, a fiber, a preparation method therefor and use thereof are provided. The method for preparing the polyamide 56 resin comprises a step of preparing the polyamide 56 resin from monomers by a polymerization reaction, wherein the polyamide 56 resin contains titanium dioxide, and the titanium dioxide is added during polymerization. The method for preparing the polyamide 56 resin in an embodiment can effectively prevent problems such as monofilament breakage and poor dyeing performance in a subsequent spinning process. In addition, the method is simple and easy to operate, and has a low production cost.",
170,Outer shell fabric for fire protective garments for firefighters and for workers exposed to risk of flash fire or electric arc,"The outer shell fabric according to the invention is made of a textile material which is a double-weave woven fabric or a warp-knit knitted fabric constructed in such a manner that preferably a majority of one yarn type is placed on the face of the fabric and the majority of a different yarn type is placed on the back surface. One of the yarns may consist of multi-filamentary meta-aramid fiber (e.g. Nomex), the other of either a multi-filamentary or a spun (staple) para-aramid fiber (e.g. Kevlar). The textile material can be visualized as two separate fabrics being interlaced together by the sharing of yarns between them. When used as part of a firefighter or work garment for protection against heat and flame, the outer shell fabric has superior tear resistance, abrasion resistance, UV resistance, and thermal protective performance when compared to other outer shell fabrics used for the same application. In addition, the textile material is more elastic than traditional woven fabrics of the same yarns, and when used in conjunction with a firefighter garment, increases comfort and mobility.",D04B21/16;;A41D31/08;;D03D11/02;;D03D15/513;;D10B2331/021;;Y10S428/92;;Y10S428/921;;Y10T442/322;;Y10T442/3228;;Y10T442/326;;Y10T442/3276;;Y10T442/3976;;Y10T442/3984;;D04B21/16;;A41D31/08;;D03D11/02;;D03D15/513;;D10B2331/021;;Y10S428/92;;Y10S428/921;;Y10T442/322;;Y10T442/3228;;Y10T442/326;;Y10T442/3276;;Y10T442/3976;;Y10T442/3984,A41D31/00;;D03D15/12;;D04B21/00,"Outer shell fabric for fire protective garments for firefighters and for workers exposed to risk of flash fire or electric arc The outer shell fabric according to the invention is made of a textile material which is a double-weave woven fabric or a warp-knit knitted fabric constructed in such a manner that preferably a majority of one yarn type is placed on the face of the fabric and the majority of a different yarn type is placed on the back surface. One of the yarns may consist of multi-filamentary meta-aramid fiber (e.g. Nomex), the other of either a multi-filamentary or a spun (staple) para-aramid fiber (e.g. Kevlar). The textile material can be visualized as two separate fabrics being interlaced together by the sharing of yarns between them. When used as part of a firefighter or work garment for protection against heat and flame, the outer shell fabric has superior tear resistance, abrasion resistance, UV resistance, and thermal protective performance when compared to other outer shell fabrics used for the same application. In addition, the textile material is more elastic than traditional woven fabrics of the same yarns, and when used in conjunction with a firefighter garment, increases comfort and mobility.",
171,Synthetic leather-like Composite with smoke and flame resistant properties,"A synthetic leather-like composite product comprising a polysiloxane top surface having the appearance and surface characteristics of leather, a polysiloxane solid or cellular core, and a textile fabric barrier layer.",D06N3/128;;B32B5/022;;B32B5/024;;B32B5/026;;B32B7/12;;B32B15/08;;B32B15/18;;B32B27/08;;B32B27/12;;B32B27/283;;B32B2262/0269;;B32B2262/101;;B32B2262/103;;B32B2307/3065;;B32B2307/406;;D06N3/0043;;D06N2205/04;;D06N2211/28;;D06N2213/02;;Y10T428/24438;;D06N3/128;;B32B5/022;;B32B5/024;;B32B5/026;;B32B7/12;;B32B15/08;;B32B15/18;;B32B27/08;;B32B27/12;;B32B27/283;;B32B2262/0269;;B32B2262/101;;B32B2262/103;;B32B2307/3065;;B32B2307/406;;D06N3/0043;;D06N2205/04;;D06N2211/28;;D06N2213/02;;Y10T428/24438,D06N3/00;;D06N3/12,"Synthetic leather-like Composite with smoke and flame resistant properties A synthetic leather-like composite product comprising a polysiloxane top surface having the appearance and surface characteristics of leather, a polysiloxane solid or cellular core, and a textile fabric barrier layer.",
172,"RECYCLABLE, ASYMMETRICAL-FACED COMPOSITE NONWOVEN TEXTILE","Aspects herein are directed to a recyclable, asymmetrical-faced composite nonwoven textile suitable for use in apparel and other articles and methods of making the same. In example aspects, the asymmetrical-faced composite nonwoven textile includes a first face formed, at least in part from a first entangled web of fibers and an opposite second face formed, at least in part from a second entangled web of fibers. When incorporated into an article of apparel, the first face forms an outer-facing surface of the article of apparel, and the second face forms an inner-facing surface of the article of apparel. The first face includes features making it suitable to form the outer-facing surface such as resistance to abrasion, and the second face includes features making it suitable to form an inner-facing surface such as a soft hand.",D04H1/4374;;B32B5/022;;D04H1/587;;D04H5/04;;D04H3/12;;A41D31/02;;B32B5/267;;B32B5/269;;B32B5/268;;D04H1/498;;D04H1/435;;D04H1/45;;D04H11/08;;D04H1/74;;B32B2307/304;;B32B27/40;;B32B2262/062;;B32B2262/0261;;B32B2262/0284;;B32B5/267;;B32B2262/0215;;B32B2307/546;;B32B2307/718;;B32B27/36;;B32B2307/554;;B32B27/12;;B32B2437/00;;B32B27/285;;B32B2307/732;;B32B5/022;;B32B3/30;;B32B2262/0292;;B32B2274/00;;B32B5/266;;B32B2250/20;;B32B5/073;;A41D31/02;;A41D31/102;;A41D2500/30;;B32B5/06;;B32B5/265;;B32B5/268;;B32B7/023;;B32B7/05;;B32B2255/02;;B32B2255/24;;B32B2255/26;;B32B2262/0207;;B32B2262/0276;;B32B2307/306;;B32B2307/50;;D04H1/64;;D04H1/66;;D04H13/00;;D04H1/498;;D04H1/66;;D04H13/00;;B32B5/06;;B32B5/022;;B32B5/268;;B32B7/05;;B32B7/023;;A41D31/102;;A41D31/02;;B32B2255/02;;B32B2255/26;;B32B2255/24;;B32B2262/0292;;B32B2262/0207;;B32B2307/718;;B32B2262/0284;;B32B2307/306;;B32B2307/732;;B32B2307/546;;A41D2500/30;;B32B5/022;;D04H13/002;;B32B7/022;;B32B5/06;;B32B7/027;;D10B2401/04;;B32B2307/718;;B32B2307/51;;B32B2437/00;;D10B2501/04;;D10B2401/062;;B32B2307/306;;B32B2262/124;;B32B7/00;;B32B25/10;;B32B2250/03;;B32B2250/40;;B32B2262/02;;B32B27/12;;D04H3/03;;D04H3/105;;B32B5/266;;B32B3/263;;B32B7/14;;B32B2250/20;;B32B2255/02;;B32B2262/0215;;B32B2262/0276;;B32B2262/0292;;D04H1/593;;D04H1/66;;D10B2501/00;;D04H1/5412;;D04H1/435;;D04H1/4358;;D04H1/498;;D04H1/555;;D10B2401/041;;D10B2401/061;;D04H1/46;;D04H1/74;;D10B2331/04;;D10B2401/20,B32B5/02;;B32B3/26;;B32B5/06;;B32B5/26;;B32B7/00;;B32B7/022;;B32B7/027;;B32B7/14;;B32B25/10;;B32B27/12;;D04H1/435;;D04H1/4358;;D04H1/46;;D04H1/498;;D04H1/541;;D04H1/555;;D04H1/593;;D04H1/66;;D04H1/74;;D04H3/03;;D04H3/105;;D04H13/00,"RECYCLABLE, ASYMMETRICAL-FACED COMPOSITE NONWOVEN TEXTILE Aspects herein are directed to a recyclable, asymmetrical-faced composite nonwoven textile suitable for use in apparel and other articles and methods of making the same. In example aspects, the asymmetrical-faced composite nonwoven textile includes a first face formed, at least in part from a first entangled web of fibers and an opposite second face formed, at least in part from a second entangled web of fibers. When incorporated into an article of apparel, the first face forms an outer-facing surface of the article of apparel, and the second face forms an inner-facing surface of the article of apparel. The first face includes features making it suitable to form the outer-facing surface such as resistance to abrasion, and the second face includes features making it suitable to form an inner-facing surface such as a soft hand.",
173,COMPOSITE CUSHION MATERIAL WITH HIGH BREATHABILITY AND MULTISTEP SUPPORT,"The invention provides composite cushion materials of high breathability and moisture management, multistep softness, and support and methods of making the composite cushion materials. The first layer of the material comprises a warp-knitted sandwich fabric, the second layer comprises a three-dimensional nonwoven fabric, the third layer comprises a perforated ethylene-vinyl acetate (EVA) foam, and the fourth layer comprises a warp-knitted mesh fabric, wherein the second layer is positioned between the first layer and the third layer, and wherein the third layer is positioned between the second layer and the fourth layer. The composite cushion materials are useful in clothing and equipment for wear in high temperature environments.",B32B5/245;;B32B7/12;;B32B2307/7376;;B32B5/022;;B32B2262/0276;;B32B5/18;;B32B2307/724;;B32B3/266;;B32B2262/0253;;B32B2262/0261;;B32B2262/062;;B32B2262/08;;B32B2262/04;;B32B5/026;;B32B7/09;;B32B2307/72;;B32B2571/02;;B32B2266/0221;;B32B5/073;;B32B5/279;;B32B2307/7376;;B32B3/266;;B32B5/022;;B32B5/026;;B32B5/18;;B32B5/245;;B32B37/12;;B32B37/16;;B32B38/0012;;B32B38/105;;B32B2038/008;;B32B2262/0284;;B32B2266/0221;;B32B2305/022;;B32B2305/186;;B32B2305/28;;B32B2307/536;;B32B2307/72;;B32B2307/724;;B32B2307/7246;;B32B2331/04;;B32B2367/00;;B32B2437/00;;B32B2571/00;;B32B2601/00;;D04B21/08;;D04B21/12;;D04B21/16;;D04B21/20;;D04H1/435;;D10B2331/04;;D10B2501/00;;D10B2505/08,B32B5/26;;B32B3/26;;B32B5/02;;B32B5/06;;B32B5/18;;B32B5/24;;B32B37/12;;B32B37/16;;B32B38/00;;D04B21/08;;D04B21/12;;D04B21/16;;D04B21/20;;D04H1/435,"COMPOSITE CUSHION MATERIAL WITH HIGH BREATHABILITY AND MULTISTEP SUPPORT The invention provides composite cushion materials of high breathability and moisture management, multistep softness, and support and methods of making the composite cushion materials. The first layer of the material comprises a warp-knitted sandwich fabric, the second layer comprises a three-dimensional nonwoven fabric, the third layer comprises a perforated ethylene-vinyl acetate (EVA) foam, and the fourth layer comprises a warp-knitted mesh fabric, wherein the second layer is positioned between the first layer and the third layer, and wherein the third layer is positioned between the second layer and the fourth layer. The composite cushion materials are useful in clothing and equipment for wear in high temperature environments.",
174,Novel polyester liner cloth,"The invention discloses novel terylene liner cloth which comprises terylene, the terylene is filiform, plain cloth is obtained by weaving plain textures, and the terylene plain cloth mainly plays a wear-resistant role in the liner cloth; the pre-dipping glue is prepared from liquid epoxy resin, the pre-dipping glue permeates the plain cloth to be combined into a whole, and the epoxy resin is mainly used as a binder as the pre-dipping glue; the glass fibers are filiform, the glass fibers are wound on the outer surface of the plain cloth, the glass fibers and the plain cloth are bonded and fixed through pre-dipping glue, and the glass fibers mainly play a role in improving the bearing capacity in the liner cloth. After being bonded and fixed with the surface of a working part, the surface of the part also has good wear resistance, oxidation resistance and corrosion resistance, so that the abrasion loss, oxidation and corrosion effects of the working surface of the part are reduced, and the service life of the part is prolonged.",B32B5/265;;B32B7/12;;B32B37/1284;;B32B38/00;;B32B38/0036;;B32B38/08;;D03D15/283;;D03D13/00;;B32B2250/20;;B32B2262/0276;;B32B2262/101;;B32B2266/00;;B32B2260/021;;B32B2260/046;;B32B2307/554;;B32B2307/714;;D10B2331/04,B32B27/36;;B32B7/12;;B32B17/02;;B32B17/10;;B32B17/12;;B32B27/02;;B32B27/04;;B32B27/38;;B32B37/12;;B32B38/00;;B32B38/08;;D03D13/00;;D03D15/283,"Novel polyester liner cloth The invention discloses novel terylene liner cloth which comprises terylene, the terylene is filiform, plain cloth is obtained by weaving plain textures, and the terylene plain cloth mainly plays a wear-resistant role in the liner cloth; the pre-dipping glue is prepared from liquid epoxy resin, the pre-dipping glue permeates the plain cloth to be combined into a whole, and the epoxy resin is mainly used as a binder as the pre-dipping glue; the glass fibers are filiform, the glass fibers are wound on the outer surface of the plain cloth, the glass fibers and the plain cloth are bonded and fixed through pre-dipping glue, and the glass fibers mainly play a role in improving the bearing capacity in the liner cloth. After being bonded and fixed with the surface of a working part, the surface of the part also has good wear resistance, oxidation resistance and corrosion resistance, so that the abrasion loss, oxidation and corrosion effects of the working surface of the part are reduced, and the service life of the part is prolonged.",
175,Textile information carrier and method for producing a textile information carrier,"A textile information carrier is described, consisting of a textile label or textile goods and a textile detection wafer having a textile carrier, which is joined to the textile label or the textile goods. A textile antenna and an electronic chip module connected to the textile antenna are disposed in or on the textile carrier.",G06K19/07749;;G06K19/027;;H01Q1/22;;H01Q1/2208;;H01Q1/27;;H01Q1/38;;Y10T442/339;;G06K19/07749;;G06K19/027;;H01Q1/22;;H01Q1/2208;;H01Q1/27;;H01Q1/38;;Y10T442/339,D03D15/00,"Textile information carrier and method for producing a textile information carrier A textile information carrier is described, consisting of a textile label or textile goods and a textile detection wafer having a textile carrier, which is joined to the textile label or the textile goods. A textile antenna and an electronic chip module connected to the textile antenna are disposed in or on the textile carrier.",
176,CHARGED NONWOVEN MATERIAL,"The disclosure relates to nonwoven fabric including a nonwoven material having a first surface and an opposing second surface, wherein the first surface has a first average surface charge and the second surface has a second average surface charge, the first average surface charge being different from the second average surface charge, wherein the nonwoven material includes a first plurality of fibers including a first polymer and a second plurality of fibers including a second polymer different from the first polymer. A method for imparting surface charge to a nonwoven N61824_1570Wabric is also provided.",D04H1/4383;;B01D39/163;;D04H1/4291;;D04H1/4334;;D04H1/435;;D04H1/43835;;D04H1/492;;D04H1/56;;D04H3/007;;D04H3/009;;D04H3/011;;D04H3/11;;D04H3/16;;B01D2239/0435;;B01D2239/0618;;B01D2239/0627;;B01D2239/10;;D10B2321/021;;D10B2321/022;;D10B2331/02;;D10B2331/041;;D10B2401/16;;D10B2505/04;;D10B2509/026,D04H1/4382;;B01D39/16;;D04H1/4291;;D04H1/4334;;D04H1/435;;D04H1/492;;D04H1/56;;D04H3/007;;D04H3/009;;D04H3/011;;D04H3/11;;D04H3/16,"CHARGED NONWOVEN MATERIAL The disclosure relates to nonwoven fabric including a nonwoven material having a first surface and an opposing second surface, wherein the first surface has a first average surface charge and the second surface has a second average surface charge, the first average surface charge being different from the second average surface charge, wherein the nonwoven material includes a first plurality of fibers including a first polymer and a second plurality of fibers including a second polymer different from the first polymer. A method for imparting surface charge to a nonwoven N61824_1570Wabric is also provided.",
177,NONWOVEN FABRICS INCLUDING RECYCLED POLYPROPYLENE,"Nonwoven fabrics are provided that include a first nonwoven layer comprising a first plurality of fine fibers. The first plurality of fine fibers comprises a first polymeric material including (i) a first polymer component and (ii) optionally one or more first additives, wherein the first polymer component comprises a first recycled-polypropylene (rPP) comprising a visbroken spunbond grade polypropylene having a first melt flow rate (MFR) before visbreaking and second MFR after visbreaking, and wherein the second MFR is larger than the first MFR.",A61F13/4942;;D04H1/4291;;D04H1/56;;D04H3/007;;D04H3/16;;D04H13/02;;B32B5/269;;B32B5/022;;B32B2262/0253;;B32B2307/30;;B32B2307/732;;B32B2307/54;;B32B5/267;;B32B5/06;;B32B2250/20;;D04H1/43838;;A61F13/49413;;A61F2013/15292;;A61F2013/15959;;A61F2013/15967;;A61L15/26;;A61L15/42;;D01F1/10;;D01F6/06;;D04H1/4291;;D04H1/4374;;D04H1/56;;D04H3/16;;D10B2321/022;;D10B2401/063;;D10B2509/026,D04H1/4291;;A61F13/15;;A61F13/494;;A61L15/26;;A61L15/42;;D01F1/10;;D01F6/06;;D04H1/4374;;D04H1/4382;;D04H1/56;;D04H3/16,"NONWOVEN FABRICS INCLUDING RECYCLED POLYPROPYLENE Nonwoven fabrics are provided that include a first nonwoven layer comprising a first plurality of fine fibers. The first plurality of fine fibers comprises a first polymeric material including (i) a first polymer component and (ii) optionally one or more first additives, wherein the first polymer component comprises a first recycled-polypropylene (rPP) comprising a visbroken spunbond grade polypropylene having a first melt flow rate (MFR) before visbreaking and second MFR after visbreaking, and wherein the second MFR is larger than the first MFR.",
178,Stretchable woven fabric and fiber product,"The purpose of the present invention is to provide a stretchable woven fabric and a fiber product which have both a natural fiber feeling and wearing comfort due to light weight and multidirectional stretchability. A stretchable woven fabric according to the present invention is a woven fabric comprising stretchable fibers formed by molding a polymer of two different components into a parallel type or an eccentric core-sheath type in either a warp yarn or a weft yarn, the elastic fibers are blended with multifilament fibers of a different type from the elastic fibers in the warp yarns and/or the weft yarns, and the elastic fibers are blended with the multifilament fibers in the warp yarns and/or the weft yarns. The two polymers of different components are a combination selected from a combination of different types of polymers having different structures and a combination of polymers having different intrinsic viscosities, and the polymers are polyester polymers selected from polyethylene terephthalate and polybutylene terephthalate. The elastic woven fabric has a weight per unit area of 100 g/m < 2 > to 200 g/m < 2 >, and is suitable for fiber products.",D03D15/283;;D03D15/47;;D03D15/292;;D01F8/14;;D02G1/18;;D02G3/32;;D03D15/56;;D02G3/04;;D03D15/56;;D03D15/283;;D03D15/292;;D03D15/47;;D03D7/00;;D01F8/14;;D02G1/18;;D02G3/04;;D02G3/32;;D10B2331/04;;D10B2331/10;;D10B2401/061;;D10B2509/00,D03D15/292;;D01F8/14;;D02G1/18;;D02G3/04;;D02G3/32;;D03D15/283;;D03D15/47;;D03D15/56,"Stretchable woven fabric and fiber product The purpose of the present invention is to provide a stretchable woven fabric and a fiber product which have both a natural fiber feeling and wearing comfort due to light weight and multidirectional stretchability. A stretchable woven fabric according to the present invention is a woven fabric comprising stretchable fibers formed by molding a polymer of two different components into a parallel type or an eccentric core-sheath type in either a warp yarn or a weft yarn, the elastic fibers are blended with multifilament fibers of a different type from the elastic fibers in the warp yarns and/or the weft yarns, and the elastic fibers are blended with the multifilament fibers in the warp yarns and/or the weft yarns. The two polymers of different components are a combination selected from a combination of different types of polymers having different structures and a combination of polymers having different intrinsic viscosities, and the polymers are polyester polymers selected from polyethylene terephthalate and polybutylene terephthalate. The elastic woven fabric has a weight per unit area of 100 g/m < 2 > to 200 g/m < 2 >, and is suitable for fiber products.",
179,GARMENT FOR MEASURING PHYSIOLOGICAL DATA,"The disclosure relates to a garment, in particular a shirt, for measuring physiological data, in particular electrocardiogram data, of a user. The garment comprises The garment (10) is formed by a plurality of garment parts, the garment parts comprising an elastic main body comprising a first elastic material, the elastic main body having a first Young's modulus, a sensory part comprising the first electrode (12), the second electrode (13), the first electrode lead and the second electrode lead, the sensory part being arranged on an inner face of the elastic main body, a compression belt integrated into the elastic main body, the compression belt comprising a second elastic material, the second elastic material having a second Young's modulus, the second Young's modulus being greater than the first Young's modulus. The compression belt comprises a lower chest portion extending in a horizontal direction below a chest area of the wearer, a central chest portion extending vertically from a central area of the lower chest portion towards the neck of the wearer, a neck portion extending around the neck of the wearer and a back portion arranged in a back area of the wearer and extending from the neck portion to the lower chest portion. The compression belt is configured to press the first electrode (12) and the second electrode (13) on the body of the wearer.",A61B5/6805;;A61B5/282;;A61B5/6843;;A61B2503/10;;A61B2562/12;;A61B2562/225,A61B5/0408;;A61B5/00,"GARMENT FOR MEASURING PHYSIOLOGICAL DATA The disclosure relates to a garment, in particular a shirt, for measuring physiological data, in particular electrocardiogram data, of a user. The garment comprises The garment (10) is formed by a plurality of garment parts, the garment parts comprising an elastic main body comprising a first elastic material, the elastic main body having a first Young's modulus, a sensory part comprising the first electrode (12), the second electrode (13), the first electrode lead and the second electrode lead, the sensory part being arranged on an inner face of the elastic main body, a compression belt integrated into the elastic main body, the compression belt comprising a second elastic material, the second elastic material having a second Young's modulus, the second Young's modulus being greater than the first Young's modulus. The compression belt comprises a lower chest portion extending in a horizontal direction below a chest area of the wearer, a central chest portion extending vertically from a central area of the lower chest portion towards the neck of the wearer, a neck portion extending around the neck of the wearer and a back portion arranged in a back area of the wearer and extending from the neck portion to the lower chest portion. The compression belt is configured to press the first electrode (12) and the second electrode (13) on the body of the wearer.",
180,WOVEN STRUCTURE OF BULLETPROOF STUFF FOR BODY ARMOR,"Fabric made of a bulletproof stuff for a body is provided to decrease weight of bulletproof stuff clothes, to improve wearability and efficiency of a production process of the bulletproof stuff clothes also. Fabric for manufacturing bulletproof stuff clothes has twill structure. The textile structure is made of multi-cloth more than double cloth. The bulletproof stuff clothes comprises a bulletproof stuffl(piled bulletproof textile), an outer cloth covering the bulletproof stuff and a bulletproof plate. The bulletproof stuff is a core part of the bulletproof stuff clothes. As the bulletproof stuff, Kevlar or twaron are used generally.",D03D1/0052;;D03D11/02;;D03D13/00;;D10B2401/061;;D10B2401/063;;D10B2501/04;;F41H1/02;;F41H5/0471,D03D11/00;;D03D13/00,"WOVEN STRUCTURE OF BULLETPROOF STUFF FOR BODY ARMOR Fabric made of a bulletproof stuff for a body is provided to decrease weight of bulletproof stuff clothes, to improve wearability and efficiency of a production process of the bulletproof stuff clothes also. Fabric for manufacturing bulletproof stuff clothes has twill structure. The textile structure is made of multi-cloth more than double cloth. The bulletproof stuff clothes comprises a bulletproof stuffl(piled bulletproof textile), an outer cloth covering the bulletproof stuff and a bulletproof plate. The bulletproof stuff is a core part of the bulletproof stuff clothes. As the bulletproof stuff, Kevlar or twaron are used generally.",
181,Bamboo fiber textile fabric body armor,"The invention relates to a bamboo fiber textile fabric body armor which is characterized by comprising a bulletproof layer (1) and a fabric layer (2), wherein one layer of clothing sleeve (3) is arranged outside the bulletproof layer (1) and the fabric layer (2) in a sleeving manner, the bulletproof layer (1) is formed by sequentially and tightly compounding five layers of aluminum alloy, glass fiber reinforced plastics, nylon, kevlar, and ultra high molecular weight polyethylene fibers, the fabric layer (2) is compounded on one surface of the bulletproof layer (1), which is close to the ultra high molecular weight polyethylene fibers. A fabric adopted by the fabric layer comprises base cloth formed by interweaving warps and wefts, the warps and the wefts are formed by blending bamboo fibers and organic cotton fibers, active carbon powder or bamboo carbon powder coating is coated on one surface of the base cloth, and a far infrared coating is coated on the other surface of the base cloth. The bamboo fiber textile fabric body armor is high in protective property, and capable of effectively preventing bullets and impaction. A bamboo fiber textile fabric disclosed by the invention is capable of resisting and inhibiting bacteria, has mould-proof and health-care effects, is capable of promoting blood circulation of a human body and regulating metabolism, and cannot cause irritability to the skin.",,B32B27/02;;B32B9/02;;F41H1/02,"Bamboo fiber textile fabric body armor The invention relates to a bamboo fiber textile fabric body armor which is characterized by comprising a bulletproof layer (1) and a fabric layer (2), wherein one layer of clothing sleeve (3) is arranged outside the bulletproof layer (1) and the fabric layer (2) in a sleeving manner, the bulletproof layer (1) is formed by sequentially and tightly compounding five layers of aluminum alloy, glass fiber reinforced plastics, nylon, kevlar, and ultra high molecular weight polyethylene fibers, the fabric layer (2) is compounded on one surface of the bulletproof layer (1), which is close to the ultra high molecular weight polyethylene fibers. A fabric adopted by the fabric layer comprises base cloth formed by interweaving warps and wefts, the warps and the wefts are formed by blending bamboo fibers and organic cotton fibers, active carbon powder or bamboo carbon powder coating is coated on one surface of the base cloth, and a far infrared coating is coated on the other surface of the base cloth. The bamboo fiber textile fabric body armor is high in protective property, and capable of effectively preventing bullets and impaction. A bamboo fiber textile fabric disclosed by the invention is capable of resisting and inhibiting bacteria, has mould-proof and health-care effects, is capable of promoting blood circulation of a human body and regulating metabolism, and cannot cause irritability to the skin.",
